game,player_a,player_a_score,player_b,player_b_score,game_note,add
Grand final,Weir Z,75 ish,Andy S,61 ish,,y
Semi final 1,Andy S,100,Chris A,0,-> Andy S (not played),y
Semi final 2,Weir Z,100,Taylor B,0,-> Weir Z (not played),y
