game,player_a,player_a_score,player_b,player_b_score,game_note,add
Grand final,Andy S,71,Weir Z,86,,y
Play off,Ethan H,75,Andy B,87,,y
Semi final 1,Andy S,87,Andy B,81,-> Andy S,y
Semi final 2,Ethan H,64,Weir Z,95,-> Weir Z,y
